Teff,logg,[Fe/H],GALEX_FUV,GALEX_NUV,STROMGREN_u,SkyMapper_u,SDSS_u,GROUND_JOHNSON_U,SkyMapper_v,STROMGREN_v,TYCHO_B_MvB,GROUND_JOHNSON_B,STROMGREN_b,SDSS_g,PS1_g,SkyMapper_g,GaiaDR2v2_BP,TYCHO_V_MvB,STROMGREN_y,GROUND_JOHNSON_V,SkyMapper_r,SDSS_r,PS1_r,PS1_w,KEPLER_Kp,GaiaDR2v2_G,GROUND_COUSINS_R,NGTS_I,SDSS_i,PS1_i,SkyMapper_i,GaiaDR2v2_RP,GROUND_COUSINS_I,TESS,PS1_z,SDSS_z,SkyMapper_z,PS1_y,2MASS_J,2MASS_H,2MASS_Ks,WISE_RSR_W1,SPITZER_IRAC_36,SPITZER_IRAC_45,WISE_RSR_W2
5000.0,6.5,0.0,1452441.0810560149,550968224.0221654,15609311708.24986,16743953871.708826,18300112664.788036,20420967287.349937,24739790039.530457,30114554437.263412,31449808801.59206,32674993572.92184,37279388490.42905,36638911576.32893,37641837531.10207,38515222678.607025,37445448109.45961,39530549079.84381,40297882483.75258,39943757691.87974,38952098101.253555,39028700859.445854,38886530423.39684,36585666800.61279,36482434161.00094,34853162014.72489,37619987415.81327,35248493117.14174,33702712254.183643,33470755098.361347,32296845310.898346,31183012347.442276,31681111564.3703,31226349371.48353,27772026312.460545,26478485108.49888,25558943677.623093,23394114289.071,14274484922.012644,7420724442.155537,3134702425.403727,286421336.5055301,171732102.1894383,73842494.19125088,66507332.59331578
5000.0,6.75,0.0,1461182.6444956285,517578870.9068348,14978545238.495762,16120065098.157742,17700048428.731003,19846403239.27489,24239220738.557,29845856556.90904,31256315558.221085,32528792897.65825,37350585899.16718,36671205895.57555,37714740166.45227,38625713002.90926,37514772543.421394,39681180231.67003,40465127730.7059,40106663686.03894,39105807498.79768,39189811965.44818,39047082465.47583,36710942737.9453,36620276995.72049,34972674325.510635,37778097407.34303,35392737836.042534,33842026435.52957,33612706381.976105,32431796187.11422,31307926248.978867,31812356929.793148,31352312908.786266,27879584892.011127,26578143867.37355,25658479371.661434,23475683546.62192,14243050961.932447,7417103746.963898,3132975972.8024487,286408952.2018314,171732097.56020948,73842494.19125088,66507332.59331578
5000.0,7.0,0.0,1462179.062781333,488446365.45611066,14342915748.567438,15486596004.344036,17085051358.69423,19249793242.82395,23703389979.352367,29538660198.65579,31032451023.05538,32368333510.690098,37411546485.283806,36688269864.98692,37774486263.11629,38724313638.780525,37574970665.17402,39822762034.01436,40620689365.27897,40258231598.77602,39254421800.80964,39340534958.545166,39206956702.102974,36807483918.51851,36746220034.74638,35078767164.74429,37922792106.903656,35527681616.84605,33962856598.407963,33728737843.443943,32554423003.526276,31419177331.462807,31927668330.2968,31464641786.324677,27977686069.050278,26665762823.99118,25740451021.718315,23547314331.33795,14267575787.374783,7415495237.956504,3132454365.053203,286427756.9119275,171732112.02852222,73842494.19125088,66507332.59331578
5000.0,7.25,0.0,1454593.853430956,462251867.7922222,13746354507.217571,14886608219.789736,16496332314.860895,18669196698.459435,23168900336.36422,29208937750.664047,30793572628.724743,32189665207.05336,37459367348.80323,36691630320.05507,37821467961.53304,38810944229.44032,37627824435.35134,39954721288.01049,40765164038.504715,40398966792.77178,39392331325.7542,39481414372.15063,39348646207.69835,36918936555.304146,36861736879.923645,35174786298.95676,38058445589.52187,35650914545.90139,34083647828.648212,33844557508.07754,32664194584.526844,31522716672.820374,32034190336.412945,31568779465.095573,28064287117.3832,26746136318.059475,25816413519.469196,23612936607.30469,14250891598.526724,7416439768.8364,3134666766.8530674,286464405.13659567,171732137.3475684,73842494.19125088,66507332.59331578
5000.0,7.5,0.0,1438139.4152080235,436972805.1841747,13193398143.861126,14330763337.087822,15943659574.644526,18118826858.226303,22638373887.676292,28861239849.63515,30536390753.067844,31995900599.03228,37491615159.40327,36680361456.15109,37854427268.16127,38884320730.62023,37671075315.50602,40075935701.1966,40898106787.19836,40528379311.65914,39528743691.85694,39617897213.778946,39483431699.34947,37016433024.4941,36967503318.977905,35261661640.410965,38186714861.60761,35763788781.93979,34190240243.2872,33950022070.105484,32764015020.122868,31618852873.9363,32130993794.973278,31665047993.784523,28142782768.172802,26818913837.123634,25885363008.467754,23672081273.835064,14274975931.106068,7418163570.073317,3133731206.0913267,286510595.04691476,171732168.7424487,73842494.19125088,66507332.59331578
5000.0,7.75,0.0,1412110.2404565702,413920840.3194555,12683747980.511948,13812713699.631496,15422925033.405142,17594165658.144222,22118826792.523678,28499730144.32513,30269307970.995876,31792976969.704243,37508564184.912674,36655736816.7052,37874795446.76145,38946416013.79728,37703747676.4864,40188822803.34443,41023215135.682304,40649978217.4305,39660361922.667114,39754970129.11336,39617731802.44729,37110999360.20856,37068240373.81729,35343901186.64275,38313151995.21125,35875171440.76252,34292283162.975574,34050995988.880054,32859586288.723854,31713054155.657207,32223692434.146156,31759032034.229176,28217872445.540417,26888652553.490936,25951314784.03929,23729154262.920616,14298264109.863174,7416750943.990785,3135122140.5558133,286560779.83575594,171732202.6917457,73842494.19125088,66507332.59331578
5000.0,8.0,0.0,1364196.975747239,390317464.7698866,12205592973.481476,13323436174.136723,14929380868.284834,17090824480.30989,21609697690.598488,28124245068.94929,29986660168.539005,31579934559.27601,37513807484.657906,36620952307.601845,37886451125.34193,39001914360.13282,37736505166.11341,40298813043.98201,41147028547.25897,40770011550.29979,39792742616.41095,39898560124.12324,39756141267.756294,37207817616.38457,37169044465.38131,35426371261.65822,38443578353.17903,35988841127.9083,34391701357.02278,34153126713.36283,32956327282.897114,31810216759.91672,32317493522.937443,31855685809.69734,28294007233.421177,26959540167.601406,26018264672.227055,23787768469.894634,14321959692.326265,7419416866.946379,3135358544.2893004,286607267.16493565,171732234.30972838,73842494.19125088,66507332.59331578
5000.0,8.25,0.0,1311825.4787329568,367289903.2701674,11749765619.347748,12856203716.491533,14454988090.920813,16604120298.906322,21108922468.852966,27730909509.873714,29691726232.05208,31354025900.20228,37500423251.973076,36569842756.1171,37882992461.598885,39044562033.69911,37762311802.823105,40399797708.054825,41263910168.04928,40882840035.3813,39929074623.8344,40040192644.26667,39894908613.89648,37295735032.9004,37264640733.511284,35504638852.38493,38572580893.117004,36102164920.9373,34496411810.40389,34253023281.804386,33051046985.974903,31906705232.400425,32409392441.52851,31950837021.56233,28368617342.80002,27028699446.058735,26083797840.83049,23843849353.060097,14345092073.100525,7417393064.081468,3135307110.9468856,286646704.98309004,171732261.98289877,73842494.19125088,66507332.59331578
5000.0,8.5,0.0,1248502.1612170194,343519290.81216383,11317592763.452822,12410348024.942898,13997841671.008953,16131400325.764004,20615405898.0993,27324732418.92434,29385683370.585983,31114147805.829815,37472385005.95448,36506856235.4698,37869227258.93282,39079579687.89294,37783321752.70253,40497414352.220856,41380351367.554344,40994719596.90267,40067614645.00447,40187203808.93726,40026897716.38993,37409388546.77218,37360871123.569855,35584099620.05006,38706371805.78646,36217537112.87219,34609616518.32715,34368556008.19431,33147866113.668583,32008146810.675472,32507329394.429466,32050331234.85935,28444019018.299606,27102339003.692493,26153938018.871365,23903630366.783257,14368374226.89719,7412814057.922985,3134567762.197329,286674424.5169358,171732282.7756267,73842494.19125088,66507332.59331578
5000.0,8.75,0.0,1171712.8978555377,318805191.33293104,10905834977.792969,11985266372.308416,13559199746.514423,15673824498.639954,20132276868.307304,26909183777.336113,29067796617.881794,30862879337.35179,37429350501.55895,36432240401.84615,37845483881.497604,39107336802.35077,37803715183.20086,40592544475.02053,41497607779.1208,41106932869.424614,40209766215.320656,40339543697.95981,40174455869.634186,37501974642.428764,37458752629.67289,35665865844.652885,38845624825.05114,36338183569.24058,34721343215.517494,34479110676.606346,33253132474.229794,32114710430.55906,32609599917.582306,32155017908.895107,28527176117.386776,27179520550.748894,26226717352.70547,23966156779.933357,14392195002.442122,7405262647.972262,3132931095.9508433,286683316.9927135,171732291.83743635,73842494.19125088,66507332.59331578
