# Teff	logg	[Fe/H]	GALEX_FUV	GALEX_NUV	STROMGREN_u	SkyMapper_u	SDSS_u	GROUND_JOHNSON_U	SkyMapper_v	STROMGREN_v	TYCHO_B_MvB	GROUND_JOHNSON_B	STROMGREN_b	SDSS_g	PS1_g	SkyMapper_g	GaiaDR2v2_BP	TYCHO_V_MvB	STROMGREN_y	GROUND_JOHNSON_V	SkyMapper_r	SDSS_r	PS1_r	PS1_w	KEPLER_Kp	GaiaDR2v2_G	GROUND_COUSINS_R	NGTS_I	SDSS_i	PS1_i	SkyMapper_i	GaiaDR2v2_RP	GROUND_COUSINS_I	TESS	PS1_z	SDSS_z	SkyMapper_z	PS1_y	2MASS_J	2MASS_H	2MASS_Ks	WISE_RSR_W1	SPITZER_IRAC_36	SPITZER_IRAC_45	WISE_RSR_W2	WISE_RSR_W3	WISE_RSR_W4
2.000000000000000000e+04	4.500000000000000000e+00	0.000000000000000000e+00	5.087824562633514844e+13	1.828125976932529297e+13	5.818604519131149414e+12	5.649326460107666016e+12	5.562183907297649414e+12	5.421963262591794922e+12	5.252942137433647461e+12	5.054344764473497070e+12	4.620393515563419922e+12	4.300529122088671875e+12	3.453485883140189941e+12	3.424834688744275879e+12	3.110141008507793457e+12	2.706344376865132324e+12	2.526457692043599121e+12	2.243517747127299805e+12	1.993749590935456055e+12	2.014579623994268799e+12	1.380001507256599365e+12	1.324289394893084961e+12	1.315624539272612061e+12	1.496718120656194580e+12	1.490678048079441162e+12	1.391782994568118652e+12	1.125290586176694336e+12	9.809497765727387695e+11	6.671799834805098877e+11	6.528969422782200928e+11	5.863066337748596191e+11	5.820455277984847412e+11	5.531215452338438721e+11	6.360008788007985840e+11	3.951598640766337280e+11	3.606981015141316528e+11	3.354394951153997192e+11	2.805901066473565063e+11	1.130404310449806671e+11	3.848879163188481140e+10	1.364911269222788429e+10	2.429218186534398556e+09	1.963591786843761921e+09	7.556411917235435247e+08	6.784809366287432909e+08	1.712294327057730407e+07	1.276580496463033138e+06
2.000000000000000000e+04	4.750000000000000000e+00	0.000000000000000000e+00	5.131305841326057812e+13	1.834266830462916406e+13	5.819473273961712891e+12	5.644652816076451172e+12	5.540099700699861328e+12	5.387313828808143555e+12	5.186116534366521484e+12	5.038369428856889648e+12	4.603365586660225586e+12	4.287347225093153809e+12	3.464450764816424805e+12	3.426501332287478027e+12	3.114145194877238281e+12	2.711217201496004883e+12	2.527542909493556152e+12	2.247790192791796387e+12	1.999387639032284180e+12	2.019990245988460449e+12	1.382758623922747559e+12	1.326555420153662842e+12	1.317998595074266602e+12	1.499004780797838867e+12	1.493264910291931885e+12	1.393147259352780518e+12	1.127242761460854004e+12	9.827386297699891357e+11	6.682660487694775391e+11	6.539486273543774414e+11	5.871101697038598633e+11	5.823813573567207031e+11	5.538297317740950928e+11	6.365485254370681152e+11	3.948339666612503662e+11	3.603169961613511963e+11	3.349590589177012939e+11	2.801063233246260986e+11	1.130546590942210541e+11	3.845311971800981903e+10	1.363686763245440865e+10	2.425934867900596142e+09	1.960937821385473490e+09	7.546198616465332508e+08	6.775638922218699455e+08	1.709979999647133052e+07	1.274855080383019755e+06
2.000000000000000000e+04	5.000000000000000000e+00	0.000000000000000000e+00	5.178838349302853125e+13	1.843039411671882422e+13	5.834827342538548828e+12	5.654678952800462891e+12	5.531702344696125000e+12	5.363681770032366211e+12	5.124731138597201172e+12	5.019672453273178711e+12	4.585983977828834961e+12	4.274460980850746094e+12	3.476852964696507324e+12	3.428655608417742676e+12	3.119056242164822266e+12	2.717329164499800293e+12	2.529933773293042480e+12	2.253546938139837402e+12	2.006784054888394775e+12	2.027069409480759521e+12	1.386807272720099609e+12	1.330066347674796387e+12	1.321616597895257812e+12	1.502256736441450195e+12	1.496915241660677246e+12	1.395423133578793701e+12	1.130296230675122314e+12	9.855041646010761719e+11	6.700720014064797363e+11	6.557045393063264160e+11	5.885668704746741943e+11	5.833299765039385986e+11	5.551595537843542480e+11	6.377515798760584717e+11	3.950324207434032593e+11	3.603801856653734131e+11	3.348751146148278809e+11	2.798144464688370972e+11	1.131733523262177582e+11	3.845385715812203217e+10	1.363404383590056801e+10	2.424449401041268826e+09	1.959737085396761656e+09	7.541577902676645517e+08	6.771490097031284571e+08	1.708932916872804612e+07	1.274074436198265757e+06
2.000000000000000000e+04	5.250000000000000000e+00	0.000000000000000000e+00	5.231197137597154688e+13	1.852643211379568359e+13	5.860263619202249023e+12	5.675241800745820312e+12	5.533382492537736328e+12	5.347979837258083008e+12	5.066709535118495117e+12	4.994900918580297852e+12	4.565361542496839844e+12	4.259129402171147461e+12	3.488060030536499512e+12	3.428820045243573242e+12	3.122590594459522461e+12	2.722712431066493652e+12	2.531925594854539551e+12	2.259174576700694824e+12	2.014528592143714844e+12	2.034394822374374268e+12	1.391349078974810791e+12	1.334086726653037598e+12	1.325746972619520508e+12	1.505572570868132568e+12	1.500708062270267822e+12	1.397791661581072510e+12	1.133881816670970947e+12	9.887572131225333252e+11	6.723946713254914551e+11	6.579701161569620361e+11	5.905145653285336914e+11	5.847162973757421875e+11	5.569647636587183838e+11	6.393824677377252197e+11	3.956830095752730103e+11	3.608195434181884766e+11	3.351304036181142578e+11	2.796645179437225952e+11	1.133800337938897552e+11	3.849064394694324493e+10	1.364169315636448479e+10	2.425126276435695171e+09	1.960284204514930964e+09	7.543683413509171009e+08	6.773380596086804867e+08	1.709410032803899795e+07	1.274430147504661232e+06
2.000000000000000000e+04	5.500000000000000000e+00	0.000000000000000000e+00	5.292855259399056250e+13	1.863049186975351172e+13	5.887656433234895508e+12	5.698581025390963867e+12	5.538500449102267578e+12	5.334953980256369141e+12	5.009845621583142578e+12	4.963562293053979492e+12	4.540768427537236328e+12	4.240502048340323242e+12	3.497358058306758301e+12	3.426068790349516602e+12	3.123722528997826660e+12	2.726261095643471680e+12	2.532298904034554199e+12	2.263393763212736328e+12	2.021280147022164062e+12	2.040680341697600586e+12	1.395281256166929443e+12	1.337511499223348389e+12	1.329301456087945312e+12	1.508095651922759766e+12	1.503762390016404297e+12	1.399464521659888916e+12	1.137053799411307617e+12	9.917377818301002197e+11	6.746994763540822754e+11	6.602268865141281738e+11	5.925043209909460449e+11	5.860953726113510742e+11	5.588320154049462891e+11	6.409458316291529541e+11	3.965429964222136841e+11	3.614151701182203979e+11	3.355290154963778076e+11	2.795044866016666870e+11	1.136222086463228912e+11	3.855450094418238831e+10	1.365756444945228004e+10	2.427710231550860882e+09	1.962372878329362392e+09	7.551721132959539890e+08	6.780597567345572710e+08	1.711231402795226499e+07	1.275788042343574343e+06
2.000000000000000000e+04	5.750000000000000000e+00	0.000000000000000000e+00	5.365443268262275781e+13	1.875693480083094922e+13	5.914284444050048828e+12	5.721903544435551758e+12	5.545051343172527344e+12	5.323477624198889648e+12	4.955272825377934570e+12	4.928057543349418945e+12	4.514488538403684570e+12	4.220686994560965332e+12	3.506922739793158203e+12	3.422238295127975098e+12	3.124090349239008789e+12	2.729332948031545898e+12	2.531999263115824219e+12	2.267184095818418457e+12	2.027883286455087891e+12	2.046772788886531982e+12	1.398815041552371582e+12	1.340474932345724121e+12	1.332418007487282227e+12	1.510182804620571777e+12	1.506465311271966553e+12	1.400742742859750977e+12	1.139823715122062256e+12	9.944454464553808594e+11	6.767498966294377441e+11	6.622365533402790527e+11	5.942915314022352295e+11	5.872660082952410889e+11	5.605164134135284424e+11	6.422944627753292236e+11	3.974175171530596313e+11	3.619991073924887085e+11	3.359236525817247314e+11	2.792533012100814209e+11	1.138457709482322693e+11	3.863515366534168243e+10	1.367976741091716003e+10	2.431989770348017216e+09	1.965832139197409153e+09	7.565033344292565584e+08	6.792550478115576506e+08	1.714247971527523547e+07	1.278037008207099047e+06
2.000000000000000000e+04	6.000000000000000000e+00	0.000000000000000000e+00	5.447457574606072656e+13	1.890942842641869922e+13	5.939009954782574219e+12	5.743826719762721680e+12	5.551932908210903320e+12	5.312778142734347656e+12	4.903181253198160156e+12	4.888855997205418945e+12	4.487207023464923828e+12	4.200354516639572266e+12	3.517651276689365234e+12	3.418060357747905273e+12	3.124415246907544922e+12	2.732634313345314453e+12	2.531551399661212891e+12	2.271199068062234863e+12	2.035057144771437744e+12	2.053354112242064209e+12	1.402322538689350830e+12	1.343312165501656494e+12	1.335431795409678955e+12	1.512128594600006104e+12	1.509133625156020508e+12	1.401863695507687012e+12	1.142428972496675049e+12	9.970329430298515625e+11	6.785347251340520020e+11	6.639789926440997314e+11	5.958150053603178711e+11	5.881817418893336182e+11	5.619378511413577881e+11	6.434348156290793457e+11	3.981699194373633423e+11	3.624570471890051880e+11	3.362115796545611572e+11	2.788705366234145508e+11	1.139962112512241821e+11	3.870427367756228638e+10	1.369886255575933838e+10	2.436350093128050327e+09	1.969356681552226543e+09	7.578596539127960205e+08	6.804728697594585419e+08	1.717321422894721851e+07	1.280328381418725708e+06
2.000000000000000000e+04	6.250000000000000000e+00	0.000000000000000000e+00	5.542954661237368750e+13	1.911849693643053516e+13	5.979878855871912109e+12	5.781670033145316406e+12	5.575417135271569336e+12	5.317636756147950195e+12	4.865132735138269531e+12	4.851391304571081055e+12	4.464843533776269531e+12	4.185043935802308594e+12	3.533002330589189941e+12	3.417324973235339844e+12	3.128162418288157227e+12	2.739332129115088867e+12	2.534400742247573242e+12	2.278330020162187012e+12	2.045514372848025146e+12	2.063125007889318604e+12	1.407942276956304932e+12	1.348125764028030518e+12	1.340428588588973633e+12	1.516030521516505127e+12	1.513854966413089600e+12	1.404838002061575195e+12	1.146726494141893066e+12	1.001106071423027710e+12	6.813132889986258545e+11	6.666900138327656250e+11	5.981926336627048340e+11	5.899130673433413086e+11	5.641550705157900391e+11	6.454948511718386230e+11	3.995295731257568359e+11	3.634434916911292725e+11	3.369913686910101929e+11	2.788459399047796021e+11	1.142538553141978607e+11	3.880801951085166168e+10	1.372646612685615730e+10	2.442395249400059700e+09	1.974243113644985914e+09	7.597400813550710678e+08	6.821612849651652575e+08	1.721582479624518380e+07	1.283505170359272510e+06
2.000000000000000000e+04	6.500000000000000000e+00	0.000000000000000000e+00	5.642817812341585938e+13	1.932822908726313672e+13	6.012391250697103516e+12	5.811695965001712891e+12	5.593151477989122070e+12	5.317951186892363281e+12	4.825677543232452148e+12	4.805658300702002930e+12	4.437705515951375977e+12	4.165690229357786621e+12	3.546747246504790527e+12	3.413397915479580566e+12	3.129294245084011719e+12	2.744124809844667969e+12	2.535138289712607910e+12	2.284035974991437988e+12	2.055264154509721436e+12	2.072046946458993164e+12	1.412678548348159668e+12	1.351986225094341797e+12	1.344508019325985596e+12	1.518749468523197510e+12	1.517518013977335449e+12	1.406693691307661621e+12	1.150194764323288086e+12	1.004494727235927979e+12	6.835191941884920654e+11	6.688355051554112549e+11	6.000416745885452881e+11	5.910941423812993164e+11	5.658618879076304932e+11	6.470129238990725098e+11	4.005669959978731689e+11	3.641299927411142578e+11	3.375020665236936646e+11	2.785988199134211426e+11	1.143901530017825928e+11	3.887576102781499481e+10	1.374086551770800972e+10	2.446326276454439640e+09	1.977420651797827482e+09	7.609628976781533957e+08	6.832592347699688673e+08	1.724353397493584082e+07	1.285570992217733292e+06
2.200000000000000000e+04	4.500000000000000000e+00	0.000000000000000000e+00	7.468495975907671875e+13	2.520764326495584375e+13	7.483678303825691406e+12	7.246680762916745117e+12	7.079767752158598633e+12	6.826862503107843750e+12	6.444247451461669922e+12	6.035615226797908203e+12	5.525824179293604492e+12	5.135925967354459961e+12	4.068027134015148926e+12	4.046773210254188965e+12	3.665721742889533691e+12	3.180998808045035156e+12	2.986954451558133301e+12	2.626809609636498535e+12	2.326347130120005859e+12	2.352300853078650391e+12	1.602747068076638184e+12	1.536822201721848633e+12	1.526726061851781494e+12	1.747535124986802002e+12	1.739393044319563477e+12	1.627976777361956055e+12	1.303272424402850830e+12	1.135405188272788086e+12	7.666444385718911133e+11	7.500297653589916992e+11	6.725550130974522705e+11	6.679528677145150146e+11	6.339905295737667236e+11	7.312190547054901123e+11	4.501406287745531006e+11	4.100397586121840820e+11	3.806580078084461060e+11	3.167866298342564697e+11	1.265530444516495361e+11	4.275351623559466553e+10	1.507226884086537552e+10	2.674887339819754124e+09	2.162174937339234352e+09	8.320579223323426247e+08	7.470949835517085791e+08	1.885467748318483680e+07	1.405680988652885193e+06
