# Teff	logg	[Fe/H]	GALEX_FUV	GALEX_NUV	STROMGREN_u	SkyMapper_u	SDSS_u	GROUND_JOHNSON_U	SkyMapper_v	STROMGREN_v	TYCHO_B_MvB	GROUND_JOHNSON_B	STROMGREN_b	SDSS_g	PS1_g	SkyMapper_g	GaiaDR2v2_BP	TYCHO_V_MvB	STROMGREN_y	GROUND_JOHNSON_V	SkyMapper_r	SDSS_r	PS1_r	PS1_w	KEPLER_Kp	GaiaDR2v2_G	GROUND_COUSINS_R	NGTS_I	SDSS_i	PS1_i	SkyMapper_i	GaiaDR2v2_RP	GROUND_COUSINS_I	TESS	PS1_z	SDSS_z	SkyMapper_z	PS1_y	2MASS_J	2MASS_H	2MASS_Ks	WISE_RSR_W1	SPITZER_IRAC_36	SPITZER_IRAC_45	WISE_RSR_W2
5.000000000000000000e+03	6.500000000000000000e+00	0.000000000000000000e+00	1.452441081056014867e+06	5.509682240221654177e+08	1.560931170824986076e+10	1.674395387170882607e+10	1.830011266478803635e+10	2.042096728734993744e+10	2.473979003953045654e+10	3.011455443726341248e+10	3.144980880159206009e+10	3.267499357292184067e+10	3.727938849042904663e+10	3.663891157632893372e+10	3.764183753110207367e+10	3.851522267860702515e+10	3.744544810945960999e+10	3.953054907984381104e+10	4.029788248375257874e+10	3.994375769187973785e+10	3.895209810125355530e+10	3.902870085944585419e+10	3.888653042339684296e+10	3.658566680061279297e+10	3.648243416100093842e+10	3.485316201472489166e+10	3.761998741581327057e+10	3.524849311714173889e+10	3.370271225418364334e+10	3.347075509836134720e+10	3.229684531089834595e+10	3.118301234744227600e+10	3.168111156437030029e+10	3.122634937148352814e+10	2.777202631246054459e+10	2.647848510849887848e+10	2.555894367762309265e+10	2.339411428907099915e+10	1.427448492201264381e+10	7.420724442155536652e+09	3.134702425403727055e+09	2.864213365055301189e+08	1.717321021894383132e+08	7.384249419125087559e+07	6.650733259331578016e+07
5.000000000000000000e+03	6.750000000000000000e+00	0.000000000000000000e+00	1.461182644495628541e+06	5.175788709068347812e+08	1.497854523849576187e+10	1.612006509815774155e+10	1.770004842873100281e+10	1.984640323927489090e+10	2.423922073855699921e+10	2.984585655690903854e+10	3.125631555822108459e+10	3.252879289765824890e+10	3.735058589916718292e+10	3.667120589557554626e+10	3.771474016645227051e+10	3.862571300290926361e+10	3.751477254342139435e+10	3.968118023167002869e+10	4.046512773070590210e+10	4.010666368603894043e+10	3.910580749879768372e+10	3.918981196544818115e+10	3.904708246547583008e+10	3.671094273794529724e+10	3.662027699572048950e+10	3.497267432551063538e+10	3.777809740734303284e+10	3.539273783604253387e+10	3.384202643552957153e+10	3.361270638197610474e+10	3.243179618711421967e+10	3.130792624897886658e+10	3.181235692979314804e+10	3.135231290878626633e+10	2.787958489201112747e+10	2.657814386737355042e+10	2.565847937166143417e+10	2.347568354662192154e+10	1.424305096193244743e+10	7.417103746963897705e+09	3.132975972802448750e+09	2.864089522018314004e+08	1.717320975602094829e+08	7.384249419125087559e+07	6.650733259331578016e+07
5.000000000000000000e+03	7.000000000000000000e+00	0.000000000000000000e+00	1.462179062781332992e+06	4.884463654561106563e+08	1.434291574856743813e+10	1.548659600434403610e+10	1.708505135869422913e+10	1.924979324282395172e+10	2.370338997935236740e+10	2.953866019865578842e+10	3.103245102305538177e+10	3.236833351069009781e+10	3.741154648528380585e+10	3.668826986498692322e+10	3.777448626311628723e+10	3.872431363878052521e+10	3.757497066517401886e+10	3.982276203401435852e+10	4.062068936527896881e+10	4.025823159877601624e+10	3.925442180080963898e+10	3.934053495854516602e+10	3.920695670210297394e+10	3.680748391851850891e+10	3.674622003474638367e+10	3.507876716474429321e+10	3.792279210690365601e+10	3.552768161684604645e+10	3.396285659840796280e+10	3.372873784344394302e+10	3.255442300352627563e+10	3.141917733146280670e+10	3.192766833029679871e+10	3.146464178632467651e+10	2.797768606905027771e+10	2.666576282399118042e+10	2.574045102171831512e+10	2.354731433133795166e+10	1.426757578737478256e+10	7.415495237956503868e+09	3.132454365053203106e+09	2.864277569119275212e+08	1.717321120285222232e+08	7.384249419125087559e+07	6.650733259331578016e+07
5.000000000000000000e+03	7.250000000000000000e+00	0.000000000000000000e+00	1.454593853430955904e+06	4.622518677922222018e+08	1.374635450721757126e+10	1.488660821978973579e+10	1.649633231486089516e+10	1.866919669845943451e+10	2.316890033636421967e+10	2.920893775066404724e+10	3.079357262872474289e+10	3.218966520705335999e+10	3.745936734880323029e+10	3.669163032005506897e+10	3.782146796153304291e+10	3.881094422944032288e+10	3.762782443535134125e+10	3.995472128801049042e+10	4.076516403850471497e+10	4.039896679277178192e+10	3.939233132575420380e+10	3.948141437215062714e+10	3.934864620769834900e+10	3.691893655530414581e+10	3.686173687992364502e+10	3.517478629895675659e+10	3.805844558952187347e+10	3.565091454590139008e+10	3.408364782864821243e+10	3.384455750807754135e+10	3.266419458452684402e+10	3.152271667282037354e+10	3.203419033641294479e+10	3.156877946509557343e+10	2.806428711738320160e+10	2.674613631805947495e+10	2.581641351946919632e+10	2.361293660730469131e+10	1.425089159852672386e+10	7.416439768836400032e+09	3.134666766853067398e+09	2.864644051365956664e+08	1.717321373475683928e+08	7.384249419125087559e+07	6.650733259331578016e+07
5.000000000000000000e+03	7.500000000000000000e+00	0.000000000000000000e+00	1.438139415208023507e+06	4.369728051841747165e+08	1.319339814386112595e+10	1.433076333708782196e+10	1.594365957464452553e+10	1.811882685822630310e+10	2.263837388767629242e+10	2.886123984963515091e+10	3.053639075306784439e+10	3.199590059903227997e+10	3.749161515940326691e+10	3.668036145615109253e+10	3.785442726816127014e+10	3.888432073062023163e+10	3.767107531550601959e+10	4.007593570119660187e+10	4.089810678719835663e+10	4.052837931165914154e+10	3.952874369185694122e+10	3.961789721377894592e+10	3.948343169934947205e+10	3.701643302449410248e+10	3.696750331897790527e+10	3.526166164041096497e+10	3.818671486160761261e+10	3.576378878193978882e+10	3.419024024328720093e+10	3.395002207010548401e+10	3.276401502012286758e+10	3.161885287393629837e+10	3.213099379497327805e+10	3.166504799378452301e+10	2.814278276817280197e+10	2.681891383712363434e+10	2.588536300846775436e+10	2.367208127383506393e+10	1.427497593110606766e+10	7.418163570073316574e+09	3.133731206091326714e+09	2.865105950469147563e+08	1.717321687424486876e+08	7.384249419125087559e+07	6.650733259331578016e+07
5.000000000000000000e+03	7.750000000000000000e+00	0.000000000000000000e+00	1.412110240456570173e+06	4.139208403194555044e+08	1.268374798051194763e+10	1.381271369963149643e+10	1.542292503340514183e+10	1.759416565814422226e+10	2.211882679252367783e+10	2.849973014432513046e+10	3.026930797099587631e+10	3.179297696970424271e+10	3.750856418491267395e+10	3.665573681670520020e+10	3.787479544676145172e+10	3.894641601379727936e+10	3.770374767648639679e+10	4.018882280334442902e+10	4.102321513568230438e+10	4.064997821743049622e+10	3.966036192266711426e+10	3.975497012911335754e+10	3.961773180244728851e+10	3.711099936020855713e+10	3.706824037381729126e+10	3.534390118664275360e+10	3.831315199521125031e+10	3.587517144076251984e+10	3.429228316297557449e+10	3.405099598888005447e+10	3.285958628872385406e+10	3.171305415565720749e+10	3.222369243414615631e+10	3.175903203422917557e+10	2.821787244554041672e+10	2.688865255349093628e+10	2.595131478403929138e+10	2.372915426292061615e+10	1.429826410986317444e+10	7.416750943990784645e+09	3.135122140555813313e+09	2.865607798357559443e+08	1.717322026917456985e+08	7.384249419125087559e+07	6.650733259331578016e+07
5.000000000000000000e+03	8.000000000000000000e+00	0.000000000000000000e+00	1.364196975747239077e+06	3.903174647698866129e+08	1.220559297348147583e+10	1.332343617413672256e+10	1.492938086828483391e+10	1.709082448030989075e+10	2.160969769059848785e+10	2.812424506894929123e+10	2.998666016853900528e+10	3.157993455927600861e+10	3.751380748465790558e+10	3.662095230760184479e+10	3.788645112534192657e+10	3.900191436013282013e+10	3.773650516611341095e+10	4.029881304398200989e+10	4.114702854725897217e+10	4.077001155029978943e+10	3.979274261641094971e+10	3.989856012412323761e+10	3.975614126775629425e+10	3.720781761638456726e+10	3.716904446538130951e+10	3.542637126165821838e+10	3.844357835317903137e+10	3.598884112790830231e+10	3.439170135702278137e+10	3.415312671336283112e+10	3.295632728289711380e+10	3.181021675991672134e+10	3.231749352293744278e+10	3.185568580969733810e+10	2.829400723342117691e+10	2.695954016760140610e+10	2.601826467222705460e+10	2.378776846989463425e+10	1.432195969232626534e+10	7.419416866946378708e+09	3.135358544289300442e+09	2.866072671649356484e+08	1.717322343097283840e+08	7.384249419125087559e+07	6.650733259331578016e+07
5.000000000000000000e+03	8.250000000000000000e+00	0.000000000000000000e+00	1.311825478732956806e+06	3.672899032701674104e+08	1.174976561934774780e+10	1.285620371649153328e+10	1.445498809092081261e+10	1.660412029890632248e+10	2.110892246885296631e+10	2.773090950987371445e+10	2.969172623205207825e+10	3.135402590020227814e+10	3.750042325197307587e+10	3.656984275611710358e+10	3.788299246159888458e+10	3.904456203369911194e+10	3.776231180282310486e+10	4.039979770805482483e+10	4.126391016804927826e+10	4.088284003538130188e+10	3.992907462383439636e+10	4.004019264426667023e+10	3.989490861389647675e+10	3.729573503290039825e+10	3.726464073351128387e+10	3.550463885238493347e+10	3.857258089311700439e+10	3.610216492093730164e+10	3.449641181040389252e+10	3.425302328180438614e+10	3.305104698597490311e+10	3.190670523240042496e+10	3.240939244152851105e+10	3.195083702156232834e+10	2.836861734280001831e+10	2.702869944605873489e+10	2.608379784083049011e+10	2.384384935306009674e+10	1.434509207310052490e+10	7.417393064081467628e+09	3.135307110946885586e+09	2.866467049830900431e+08	1.717322619828987718e+08	7.384249419125087559e+07	6.650733259331578016e+07
5.000000000000000000e+03	8.500000000000000000e+00	0.000000000000000000e+00	1.248502161217019428e+06	3.435192908121638298e+08	1.131759276345282173e+10	1.241034802494289780e+10	1.399784167100895309e+10	1.613140032576400375e+10	2.061540589809930038e+10	2.732473241892433929e+10	2.938568337058598328e+10	3.111414780582981491e+10	3.747238500595448303e+10	3.650685623546980286e+10	3.786922725893282318e+10	3.907957968789293671e+10	3.778332175270252991e+10	4.049741435222085571e+10	4.138035136755434418e+10	4.099471959690267181e+10	4.006761464500447083e+10	4.018720380893726349e+10	4.002689771638993073e+10	3.740938854677217865e+10	3.736087112356985474e+10	3.558409962005005646e+10	3.870637180578646088e+10	3.621753711287219238e+10	3.460961651832714844e+10	3.436855600819431305e+10	3.314786611366858292e+10	3.200814681067547226e+10	3.250732939442946625e+10	3.205033123485934830e+10	2.844401901829960632e+10	2.710233900369249344e+10	2.615393801887136459e+10	2.390363036678325653e+10	1.436837422689719009e+10	7.412814057922985077e+09	3.134567762197329044e+09	2.866744245169358253e+08	1.717322827756266892e+08	7.384249419125087559e+07	6.650733259331578016e+07
5.000000000000000000e+03	8.750000000000000000e+00	0.000000000000000000e+00	1.171712897855537711e+06	3.188051913329310417e+08	1.090583497779296875e+10	1.198526637230841637e+10	1.355919974651442337e+10	1.567382449863995361e+10	2.013227686830730438e+10	2.690918377733611298e+10	2.906779661788179398e+10	3.086287933735179138e+10	3.742935050155895233e+10	3.643224040184615326e+10	3.784548388149760437e+10	3.910733680235076904e+10	3.780371518320085907e+10	4.059254447502053070e+10	4.149760777912079620e+10	4.110693286942461395e+10	4.020976621532065582e+10	4.033954369795980835e+10	4.017445586963418579e+10	3.750197464242876434e+10	3.745875262967288971e+10	3.566586584465288544e+10	3.884562482505113983e+10	3.633818356924057770e+10	3.472134321551749420e+10	3.447911067660634613e+10	3.325313247422979355e+10	3.211471043055905914e+10	3.260959991758230591e+10	3.215501790889510727e+10	2.852717611738677597e+10	2.717952055074889374e+10	2.622671735270547104e+10	2.396615677993335724e+10	1.439219500244212151e+10	7.405262647972262383e+09	3.132931095950843334e+09	2.866833169927135110e+08	1.717322918374363482e+08	7.384249419125087559e+07	6.650733259331578016e+07
